,Zip Code,Residential Units,Commercial Units,Total Units,Land Square Feet,Gross Square Feet,Year Built,Tax Class At Time Of Sale,Sale Price,X Coordinate,Y Coordinate,Building Class Category,Address,Borough,Neighborhood
0,0,1.025,0.15,1.175,2525.625,603.325,1994.525,1.825,1866196.425,-73.498902,42.6713622,13 Condos - Elevator Apartments            ,2 River Terrace,Manhattan,Tribeca
1,10001,0.25,0.21739130434782608,0.4782608695652174,111.43478260869566,962.0108695652174,1946.804347826087,2.0869565217391304,1268599.641304348,-74.0060152,40.7127281,10 Coops - Elevator Apartments             ,540 West 28Th Street,Manhattan,Chelsea
2,10002,0.34196891191709844,0.031088082901554404,0.41450777202072536,48.95854922279793,178.14507772020724,1952.0984455958549,2.1036269430051813,982696.1606217617,-74.0060152,40.7127281,10 Coops - Elevator Apartments             ,77 Bowery,Manhattan,Lower East Side
3,10003,0.24404761904761904,0.011904761904761904,0.25793650793650796,37.01587301587302,177.984126984127,1944.9484126984128,2.003968253968254,1386192.3511904762,-74.0060152,40.7127281,10 Coops - Elevator Apartments             ,1 Irving Place,Manhattan,Greenwich Village-Central
4,10004,0.7647058823529411,0.0,0.7647058823529411,0.0,0.0,1965.4411764705883,2.0,1285941.2352941176,-74.0060152,40.7127281,13 Condos - Elevator Apartments            ,30 Little West Street,Manhattan,Financial
5,10005,0.9745222929936306,0.1464968152866242,1.1210191082802548,175.79617834394904,3610.56050955414,1962.7707006369426,2.0127388535031847,1593092.210191083,-74.0060152,40.7127281,13 Condos - Elevator Apartments            ,15 William Street,Manhattan,Financial
6,10006,0.9928571428571429,0.0,1.0,0.0,0.0,1994.6,2.0142857142857142,2321054.8714285716,-74.0060152,40.7127281,13 Condos - Elevator Apartments            ,50 West Street,Manhattan,Financial
7,10007,0.9550561797752809,0.0,0.9775280898876404,0.0,0.0,1965.5842696629213,2.044943820224719,2872541.6516853934,-74.0060152,40.7127281,13 Condos - Elevator Apartments            ,140 West Street,Manhattan,Tribeca
8,10009,0.6598639455782312,0.04081632653061224,0.7006802721088435,66.25170068027211,170.33333333333334,1954.1972789115646,2.006802721088435,1183021.925170068,-74.0060152,40.7127281,13 Condos - Elevator Apartments            ,100 Avenue A,Manhattan,Alphabet City
9,10010,0.496875,0.109375,0.60625,40.5,690.846875,1955.365625,2.003125,1490135.39375,-74.0060152,40.7127281,13 Condos - Elevator Apartments            ,385 1 Avenue,Manhattan,Gramercy
10,10011,0.4954128440366973,0.0061162079510703364,0.5045871559633027,37.83639143730887,208.56422018348624,1952.940366972477,2.003058103975535,1483112.6376146788,-74.0060152,40.7127281,10 Coops - Elevator Apartments             ,55 West 17Th   Street,Manhattan,Chelsea
11,10012,0.2603550295857988,0.005917159763313609,0.2781065088757396,0.0,0.0,1921.3846153846155,2.0236686390532546,1599282.8816568048,-74.0060152,40.7127281,10 Coops - Elevator Apartments             ,184 Thompson Street,Manhattan,Greenwich Village-Central
12,10013,0.7,0.06521739130434782,0.8391304347826087,35.278260869565216,123.78260869565217,1948.0826086956522,2.1826086956521737,2835503.3304347824,-74.0060152,40.7127281,13 Condos - Elevator Apartments            ,56 Leonard Street,Manhattan,Soho
13,10014,0.2508710801393728,0.0,0.2578397212543554,17.829268292682926,41.15679442508711,1932.8327526132405,2.0,1266122.6271777004,-74.0060152,40.7127281,10 Coops - Elevator Apartments             ,421 Hudson Street,Manhattan,Greenwich Village-West
14,10016,0.6593591905564924,0.003372681281618887,0.6711635750421585,32.29173693086003,242.3406408094435,1959.7065767284992,2.0134907251264758,1045604.9898819561,-74.0060152,40.7127281,10 Coops - Elevator Apartments             ,88 Lexington Avenue,Manhattan,Murray Hill
15,10017,0.5546218487394958,0.0,0.5910364145658263,21.095238095238095,168.187675070028,1949.501400560224,2.0728291316526612,854274.7086834734,-74.0060152,40.7127281,10 Coops - Elevator Apartments             ,100 United Nations Plaza,Manhattan,Midtown East
16,10018,0.9411764705882353,0.38235294117647056,1.3529411764705883,217.8235294117647,1858.6176470588234,1978.8235294117646,2.1176470588235294,1712268.9411764706,-74.0060152,40.7127281,13 Condos - Elevator Apartments            ,100 West 39Th   Street,Manhattan,Fashion
17,10019,0.5980392156862745,0.1895424836601307,0.8398692810457516,705.6111111111111,10511.088235294117,1963.4656862745098,2.2941176470588234,1115543.9428104574,-74.0060152,40.7127281,13 Condos - Elevator Apartments            ,416 West 52Nd Street,Manhattan,Midtown West
18,10021,0.8745247148288974,0.009505703422053232,0.8878326996197718,71.88973384030419,750.9828897338404,1956.6045627376425,2.005703422053232,1266898.114068441,-74.0060152,40.7127281,10 Coops - Elevator Apartments             ,200 East 69Th   Street,Manhattan,Upper East Side (59-79)
19,10022,0.3584905660377358,0.005805515239477504,0.3788098693759071,23.925979680696663,32.113207547169814,1964.731494920174,2.0333817126269955,1408588.9941944848,-74.0060152,40.7127281,10 Coops - Elevator Apartments             ,959 1 Avenue,Manhattan,Midtown East
20,10023,0.9984025559105432,0.01597444089456869,1.0175718849840256,81.43290734824281,1043.031948881789,1948.1389776357828,2.0063897763578273,1253474.1261980832,-74.0060152,40.7127281,10 Coops - Elevator Apartments             ,25 Central Park West,Manhattan,Upper West Side (59-79)
21,10024,0.75,0.005813953488372093,0.7596899224806202,115.35658914728683,1449.358527131783,1929.0096899224807,2.007751937984496,1457466.269379845,-74.0060152,40.7127281,10 Coops - Elevator Apartments             ,2211 Broadway,Manhattan,Upper West Side (79-96)
22,10025,0.4962962962962963,0.005555555555555556,0.5092592592592593,34.94259259259259,114.76666666666667,1930.9277777777777,2.0148148148148146,1221517.348148148,-74.0060152,40.7127281,10 Coops - Elevator Apartments             ,400 Central Park West,Manhattan,Upper West Side (96-116)
23,10026,1.213235294117647,0.029411764705882353,1.25,209.27205882352942,505.69117647058823,1953.0367647058824,1.963235294117647,1140178.1544117648,-74.0060152,40.7127281,13 Condos - Elevator Apartments            ,2094 Fredrick Douglass Bl,Manhattan,Harlem-Central
24,10027,1.2490566037735849,0.026415094339622643,1.2830188679245282,306.2792452830189,582.822641509434,1969.5735849056605,2.0037735849056606,976672.3962264151,-74.0060152,40.7127281,13 Condos - Elevator Apartments            ,171 West 131 Street,Manhattan,Harlem-Central
